href|lat|lon|lines|station|distance|google|time|apttype|area|borough|price|price2|bedrooms|listed|updated|avail|building|feet|amenslist|laundry|unitlaundry|gym|dishwasher|offers|nofee
http://www.nakedapartments.com/apartment/1-Bedroom-West-20TH-ST-New-York-NY-10011-29hYHvV|40.7430193|-73.9991528|1,2,3|18 St|0.16|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9991528!2d40.7430193!1m3!2m2!1d-73.9991528!2d40.7430193!3e3|13|1br|Chelsea|Manhattan|2000|2000|1|26 days|26 days|Immediately|||Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-3RD-AVE-New-York-NY-10028-4KzhzAd|40.7762161|-73.9561134|4,6,5|86 St|0.23|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9561134!2d40.7762161!1m3!2m2!1d-73.9561134!2d40.7762161!3e3|24|1br|Upper East Side|Manhattan|2000|2000|1|24 days|24 days|Immediately|||Dishwasher,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-61ST-ST-Queens-NY-10065-77CGYM05|40.76486|-73.969942|4,6,5|59 St|0.21|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.969942!2d40.76486!1m3!2m2!1d-73.969942!2d40.76486!3e3|13|1br|Woodside|Queens|1700|1700|1|11 days|11 days|Immediately|Elevator/Laundry Building|875|Elevator,Garage,Laundry Room,On-site super,Parking|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Crescent-ST-Queens-NY-11106-2ub5yrR4|40.7656755|-73.926456|N,Q|Broadway|0.27|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.926456!2d40.7656755!1m3!2m2!1d-73.926456!2d40.7656755!3e3|28|1br|Astoria|Queens|2200|2200|1|15 days|15 days|Immediately|New Building||Balcony,Dishwasher,Elevator,Garage,Gym,Laundry Room,On-site super,Outdoor Space,Parking,Storage Room|x||x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-36TH-ST-New-York-NY-10016-2OyptW1|40.746136|-73.975717|7|Grand Central - 42 St|0.37|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.975717!2d40.746136!1m3!2m2!1d-73.975717!2d40.746136!3e3|21|1br|Murray Hill|Manhattan|2200|2200|1|24 days|About 2 hours|Immediately|||Doorman,Elevator,Gym,Laundry Room|x||x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-Crescent-ST-Queens-NY-11101-6QrNmXja|40.7486512|-73.9424142|G|Long Island City - Court Sq|0.18|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9424142!2d40.7486512!1m3!2m2!1d-73.9424142!2d40.7486512!3e3|19|1br|Long Island City|Queens|2150|2150|1|28 days|2 days|Apr. 01, 2014||700|Balcony,Dishwasher,Doorman,Duplex,Elevator,Garage,Gym,In-Unit Laundry,Laundry Room,Parking,Playroom/Nursery|x|x|x|x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-39TH-AVE-Queens-NY-11377-mOGQ89u|40.748519|-73.912684|7|52 St|0.03|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.912684!2d40.748519!1m3!2m2!1d-73.912684!2d40.748519!3e3|30|1br|Sunnyside|Queens|1460|1460|1|3 days|3 days|Apr. 01, 2014|Walk-Up||Backyard,Laundry Room,On-site super,Parking|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Broadway-Queens-NY-11106-oaKdlcF|40.76161|-73.925263|N,Q|Broadway|0.02|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.925263!2d40.76161!1m3!2m2!1d-73.925263!2d40.76161!3e3|21|1br|Astoria|Queens|2000|2000|1|15 days|15 days|Immediately|New Building||Dishwasher,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Wall-ST-New-York-NY-10005-DpQx4q|40.706258|-74.010231|J|Broad St|0.06|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-74.010231!2d40.706258!1m3!2m2!1d-74.010231!2d40.706258!3e3|24|1br|Financial District|Manhattan|2250|2250|1|5 days|5 days|Apr. 01, 2014|||Dishwasher,Doorman,Elevator,Fireplace,Garage,Gym,Laundry Room,Outdoor Space,Outdoor Space,Outdoor Space|x||x|x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-41ST-ST-Queens-NY-11104-76ZnzXW2|40.741026|-73.9238435|7|40 St|0.19|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9238435!2d40.741026!1m3!2m2!1d-73.9238435!2d40.741026!3e3|26|1br|Sunnyside|Queens|2100|2100|1|3 days|3 days|Immediately|Elevator/Laundry Building||Dishwasher,Elevator,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-31ST-AVE-Queens-NY-11106-3RyZqP6o|40.765658|-73.925438|N,Q|Broadway|0.27|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.925438!2d40.765658!1m3!2m2!1d-73.925438!2d40.765658!3e3|28|1br|Astoria|Queens|1650|1650|1|4 days|4 days|Immediately|Walk-Up||Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Battery-PL-New-York-NY-10280-34Nk0A|40.707293|-74.0177|1|Rector St|0.27|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-74.0177!2d40.707293!1m3!2m2!1d-74.0177!2d40.707293!3e3|31|1br|Battery Park City|Manhattan|2300|2300|1|12 days|12 days|Apr. 01, 2014|Luxury Highrise||Dishwasher,Doorman,Elevator,Garage,Gym,Laundry Room,On-site super,Outdoor Space,Parking,Storage Room|x||x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-2ND-AVE-New-York-NY-10016-2OxIj78|40.7460135|-73.9752359|7|Grand Central - 42 St|0.38|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9752359!2d40.7460135!1m3!2m2!1d-73.9752359!2d40.7460135!3e3|19|1br|Murray Hill|Manhattan|1995|1995|1|12 days|12 days|Mar. 24, 2014|||Dishwasher,Elevator,Laundry Room|x|||x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-East-86TH-ST-New-York-NY-10028-4SOXTHO|40.7783604|-73.9523674|4,6,5|86 St|0.24|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9523674!2d40.7783604!1m3!2m2!1d-73.9523674!2d40.7783604!3e3|16|1br|Upper East Side|Manhattan|2100|2100|1|19 days|About 1 hour|Immediately||550|Balcony,Dishwasher,Elevator,Laundry Room,Outdoor Space,Outdoor Space,Outdoor Space,Terrace|x|||x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-Prospect-PARK-SW-Brooklyn-NY-11215-dmHsIOQY|40.659252|-73.9768689|G,F|15 St - Prospect Park|0.02|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9768689!2d40.659252!1m3!2m2!1d-73.9768689!2d40.659252!3e3|34|1br|Park Slope|Brooklyn|2000|2000|1|18 days|18 days|Jun. 02, 2014|||Elevator,Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Skillman-AVE-Queens-NY-11104-3Gvo9TSz|40.746426|-73.914663|7|52 St|0.21|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.914663!2d40.746426!1m3!2m2!1d-73.914663!2d40.746426!3e3|29|1br|Sunnyside|Queens|2025|2025|1|28 days|28 days|Immediately|Elevator/Laundry Building||Elevator,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-4TH-ST-New-York-NY-10003-Wt4a8f|40.725301|-73.987902|F|2 Av|0.19|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.987902!2d40.725301!1m3!2m2!1d-73.987902!2d40.725301!3e3|17|1br|East Village|Manhattan|2100|2100|1|7 days|7 days|Immediately|Walk-Up||Dishwasher,Laundry Room|x|||x|Reduced fee: 12.0%|
http://www.nakedapartments.com/apartment/1-Bedroom-Washington-ST-New-York-NY-10006-3u7ot3|40.70803|-74.014869|1|Rector St|0.08|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-74.014869!2d40.70803!1m3!2m2!1d-74.014869!2d40.70803!3e3|25|1br|Financial District|Manhattan|2075|2075|1|22 days|22 days|Immediately|||Dishwasher,Doorman,Elevator,Garage,Gym,Laundry Room,Parking,Terrace|x||x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-West-80TH-ST-New-York-NY-10024-6KooWs5X|40.7835847|-73.9772821|1,2,3|79 St|0.18|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9772821!2d40.7835847!1m3!2m2!1d-73.9772821!2d40.7835847!3e3|17|1br|Upper West Side|Manhattan|2300|2300|1|10 days|10 days|Immediately|Brownstone||Elevator,Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-West-ST-New-York-NY-10006-5nvpPI|40.7092955|-74.014576|1|Rector St|0.13|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-74.014576!2d40.7092955!1m3!2m2!1d-74.014576!2d40.7092955!3e3|27|1br|Financial District|Manhattan|2295|2295|1|23 days|23 days|Immediately|||Dishwasher,Doorman,Elevator,Garage,Gym,Laundry Room,Playroom/Nursery|x||x|x|No fee|x
